"Timestamp","What's your Myers-Briggs type?"
"2015/11/18 1:35:42 PM PST","I N T P"
"2015/11/18 1:39:13 PM PST","“It's always something different"""
"2015/11/18 1:39:41 PM PST","I N T J"
"2015/11/18 1:52:39 PM PST","I N T J"
"2015/11/18 1:57:39 PM PST","E N F P"
"2015/11/18 2:01:49 PM PST","I N T J"
"2015/11/18 2:48:37 PM PST","I N F J"
"2015/11/18 2:49:48 PM PST","I N T J"
"2015/11/18 2:52:24 PM PST","I N T P"
"2015/11/18 3:11:59 PM PST","I N T J"
"2015/11/18 3:12:34 PM PST","I N F J"
"2015/11/18 3:13:06 PM PST","I N F J"
"2015/11/18 3:39:31 PM PST","E S F J;“It's always something different"""
"2015/11/18 3:44:58 PM PST","I N T P"
"2015/11/18 3:48:46 PM PST","E S F P"
"2015/11/18 3:51:52 PM PST","“It's always something different"""
"2015/11/18 3:55:31 PM PST","I N F J;I N F P;I N T J;I N T P"
"2015/11/18 3:59:25 PM PST","I N T J"
"2015/11/18 4:03:04 PM PST","I N F P"
"2015/11/18 4:05:35 PM PST","I N T J;I S T J"
"2015/11/18 4:11:51 PM PST","I N T J"
"2015/11/18 4:25:01 PM PST","I N T P"
"2015/11/18 4:25:38 PM PST","E N F J"
"2015/11/18 4:36:48 PM PST","I N F P"
"2015/11/18 4:47:37 PM PST","I N T J"
"2015/11/18 4:49:20 PM PST","I N T P"
"2015/11/18 4:59:14 PM PST","I N F J"
"2015/11/18 5:23:10 PM PST","I N T J"
"2015/11/18 5:46:09 PM PST","I N T J"
"2015/11/18 5:46:17 PM PST","I N T J"
"2015/11/18 5:54:03 PM PST","E N F J"
"2015/11/18 6:02:50 PM PST","I N F J"
"2015/11/18 6:18:59 PM PST","I N T P"
"2015/11/18 6:38:26 PM PST","I N F P"
"2015/11/18 6:45:47 PM PST","I N F P"
"2015/11/18 6:48:29 PM PST","I N T P"
"2015/11/18 7:11:13 PM PST","I N T J"
"2015/11/18 7:15:13 PM PST","I N T J"
"2015/11/18 7:15:36 PM PST","I N F P"
"2015/11/18 7:17:18 PM PST","“It's always something different"""
"2015/11/18 7:19:14 PM PST","I N T J"
"2015/11/18 7:37:08 PM PST","I N T P"
"2015/11/18 7:49:47 PM PST","I N T P"
"2015/11/18 7:50:06 PM PST","I N T J"
"2015/11/18 7:55:32 PM PST","E N F P"
"2015/11/18 7:56:22 PM PST","I N T J"
"2015/11/18 8:04:45 PM PST","I S F J"
"2015/11/18 8:09:52 PM PST","I N F J"
"2015/11/18 8:14:38 PM PST","I N F P"
"2015/11/18 8:22:07 PM PST","I N T J"
"2015/11/18 8:32:52 PM PST","I N T J"
"2015/11/18 8:49:48 PM PST","I N F J"
"2015/11/18 9:42:43 PM PST","I N T J"
"2015/11/18 10:40:06 PM PST","I N T J"
"2015/11/18 10:45:54 PM PST","E N F J;I N F J"
"2015/11/18 11:44:36 PM PST","I N F P"
"2015/11/18 11:56:46 PM PST","“It's always something different"""
"2015/11/19 12:27:23 AM PST","I N F P"
"2015/11/19 12:42:35 AM PST","I N T P"
"2015/11/19 12:42:54 AM PST","I N F P"
"2015/11/19 1:19:45 AM PST","I N F J;I N F P;I N T J;I N T P;I S F J;I S F P;I S T J;I S T P;“It's always something different"""
"2015/11/19 1:29:52 AM PST","I N T P"
"2015/11/19 3:47:44 AM PST","I N T J"
"2015/11/19 3:52:20 AM PST","I N T P"
"2015/11/19 3:58:29 AM PST","“It's always something different"""
"2015/11/19 4:57:37 AM PST","I N T J"
"2015/11/19 5:50:33 AM PST","I N T P"
"2015/11/19 6:33:32 AM PST","E N T J"
"2015/11/19 6:55:25 AM PST","I N F J"
"2015/11/19 7:06:15 AM PST","“It's always something different"""
"2015/11/19 8:07:35 AM PST","I N F J"
"2015/11/19 8:29:20 AM PST","I N T J"
"2015/11/19 8:29:29 AM PST","I N T P"
"2015/11/19 9:12:05 AM PST","E N T P"
"2015/11/19 10:10:33 AM PST","E N F P"
"2015/11/19 10:11:32 AM PST","I N F J"
"2015/11/19 10:18:56 AM PST","I N T J"
"2015/11/19 10:33:36 AM PST","I N T J"
"2015/11/19 10:42:17 AM PST","I N F P"
"2015/11/19 10:54:18 AM PST","I N T J"
"2015/11/19 11:07:22 AM PST","E N F P"
"2015/11/19 11:09:29 AM PST","I N F P"
"2015/11/19 11:11:05 AM PST","I S F J;I S F P;I S T J;I S T P"
"2015/11/19 11:22:06 AM PST","E N T J"
"2015/11/19 11:27:02 AM PST","I N T J"
"2015/11/19 11:53:12 AM PST","E N T J"
"2015/11/19 12:01:04 PM PST","E N F J;E N F P;E N T J;E N T P;I N F J;I N F P;I N T J;I N T P"
"2015/11/19 12:24:24 PM PST","I N F J"
"2015/11/19 1:07:42 PM PST","I N F P"
"2015/11/19 1:41:10 PM PST","I N F P"
"2015/11/19 1:49:17 PM PST","E N F J;“It's always something different"""
"2015/11/19 2:02:02 PM PST","I S F J"
"2015/11/19 2:05:48 PM PST","I N T J"
"2015/11/19 2:08:49 PM PST","I S T P"
"2015/11/19 2:12:43 PM PST","I S F J"
"2015/11/19 2:14:04 PM PST","I N T P"
"2015/11/19 2:43:31 PM PST","I N T J"
"2015/11/19 3:24:30 PM PST","I S T P"
"2015/11/19 3:37:33 PM PST","I N T P"
"2015/11/19 3:45:56 PM PST","I N F P"
"2015/11/19 4:37:16 PM PST","I N T J"
"2015/11/19 5:04:07 PM PST","“It's always something different"""
"2015/11/19 5:17:06 PM PST","I N F J"
"2015/11/19 5:43:25 PM PST","I N T J"
"2015/11/19 5:52:50 PM PST","“It's always something different"""
"2015/11/19 6:05:22 PM PST","I N T P"
"2015/11/19 6:10:47 PM PST","E S T J"
"2015/11/19 6:55:20 PM PST","E N T J"
"2015/11/19 6:59:38 PM PST","I N F J"
"2015/11/19 7:02:15 PM PST","I N T J"
"2015/11/19 7:05:35 PM PST","I N F P"
"2015/11/19 7:09:31 PM PST","I N T J"
"2015/11/19 7:33:33 PM PST","I N F J"
"2015/11/19 8:23:32 PM PST","I N F J"
"2015/11/19 8:34:31 PM PST","E N F P"
"2015/11/19 9:31:28 PM PST","E N T P"
"2015/11/19 9:33:15 PM PST","“It's always something different"""
"2015/11/19 11:11:06 PM PST","I N T P"
"2015/11/19 11:16:34 PM PST","I N T P"
"2015/11/19 11:32:32 PM PST","I N T J"
"2015/11/19 11:39:51 PM PST","I N F J"
"2015/11/20 12:04:05 AM PST","I N F P"
"2015/11/20 1:30:12 AM PST","I N T P"
"2015/11/20 2:51:32 AM PST","I S T J"
"2015/11/20 3:20:17 AM PST","I N T P"
"2015/11/20 3:37:23 AM PST","I N F J"
"2015/11/20 3:44:25 AM PST","I N F J"
"2015/11/20 3:51:32 AM PST","I S F J;I S T J"
"2015/11/20 3:51:34 AM PST","I S T P"
"2015/11/20 4:43:42 AM PST","I N T J"
"2015/11/20 4:48:35 AM PST","I N T J"
"2015/11/20 4:53:52 AM PST","E N F P"
"2015/11/20 5:29:04 AM PST","I N T P"
"2015/11/20 5:59:33 AM PST","I N F P"
"2015/11/20 6:00:54 AM PST","I N T P"
"2015/11/20 6:25:03 AM PST","I N F J"
"2015/11/20 6:32:03 AM PST","I N T P"
"2015/11/20 7:12:14 AM PST","I N F P"
"2015/11/20 7:19:56 AM PST","I N T P"
"2015/11/20 7:34:54 AM PST","“It's always something different"""
"2015/11/20 7:42:58 AM PST","E N F P"
"2015/11/20 7:45:10 AM PST","I N T J"
"2015/11/20 8:14:05 AM PST","I N F J"
"2015/11/20 8:48:54 AM PST","I N T P"
"2015/11/20 10:12:05 AM PST","I N F J"
"2015/11/20 10:19:12 AM PST","I N F J"
"2015/11/20 10:31:04 AM PST","E N F P"
"2015/11/20 10:46:19 AM PST","I N F J"
"2015/11/20 11:23:57 AM PST","I S F J"
"2015/11/20 11:55:08 AM PST","I N T P"
"2015/11/20 11:57:10 AM PST","I N T J"
"2015/11/20 12:10:01 PM PST","I N F J"
"2015/11/20 1:52:33 PM PST","I N T J"
"2015/11/20 2:18:55 PM PST","E N T J"
"2015/11/20 2:19:04 PM PST","I N T J"
"2015/11/20 2:21:09 PM PST","I S T J"
"2015/11/20 2:28:07 PM PST","I N T J"
"2015/11/20 3:01:28 PM PST","I N T P"
"2015/11/20 3:12:54 PM PST","I N T J"
"2015/11/20 3:14:52 PM PST","I N T P"
"2015/11/20 4:32:59 PM PST","I N F J"
"2015/11/20 4:59:57 PM PST","I N T J"
"2015/11/20 5:00:15 PM PST","I N F P"
"2015/11/20 5:11:30 PM PST","E N F J"
"2015/11/20 5:48:45 PM PST","I N T P"
"2015/11/20 6:13:17 PM PST","I N T J"
"2015/11/20 6:18:49 PM PST","I N F P;I N T P"
"2015/11/20 6:32:58 PM PST","E N F P"
"2015/11/20 6:38:33 PM PST","I N F P"
"2015/11/20 6:47:34 PM PST","I N T P"
"2015/11/20 6:52:36 PM PST","I N T P"
"2015/11/20 7:30:26 PM PST","I N F P"
"2015/11/20 7:39:58 PM PST","I N T J"
"2015/11/20 7:56:59 PM PST","I N F P"
"2015/11/20 8:05:01 PM PST","I N T P"
"2015/11/20 10:22:55 PM PST","I N F P"
"2015/11/20 10:53:51 PM PST","E N T P"
"2015/11/20 11:18:17 PM PST","E N F J"
"2015/11/20 11:26:26 PM PST","I N T J"
"2015/11/20 11:53:44 PM PST","I N T P"
"2015/11/21 12:02:24 AM PST","I N F P"
"2015/11/21 12:43:45 AM PST","“It's always something different"""
"2015/11/21 2:43:39 AM PST","I N T J"
"2015/11/21 4:23:22 AM PST","E N T J"
"2015/11/21 5:23:55 AM PST","I N F P"
"2015/11/21 5:23:57 AM PST","I N F P"
"2015/11/21 6:35:27 AM PST","I N T J"
"2015/11/21 9:35:37 AM PST","E N F J;I N T J;I N T P"
"2015/11/21 9:38:42 AM PST","I N T P"
"2015/11/21 10:12:45 AM PST","I N F J"
"2015/11/21 10:16:02 AM PST","I N T P"
"2015/11/21 12:29:05 PM PST","I S T J"
"2015/11/21 3:00:04 PM PST","E N F P"
"2015/11/21 3:45:07 PM PST","I S T P"
"2015/11/21 3:57:59 PM PST","I N T P"
"2015/11/21 4:04:42 PM PST","I N F P"
"2015/11/21 4:54:37 PM PST","I N F P"
"2015/11/21 5:40:59 PM PST","I N T J"
"2015/11/21 5:46:06 PM PST","E N F P"
"2015/11/21 6:01:00 PM PST","I N T P"
"2015/11/21 6:03:51 PM PST","I N T J"
"2015/11/21 6:46:16 PM PST","I N T P"
"2015/11/21 7:54:00 PM PST","I N T J"
"2015/11/21 7:57:01 PM PST","I N T J"
"2015/11/21 8:59:59 PM PST","I N F J"
"2015/11/21 9:10:42 PM PST","I N F J"
"2015/11/21 9:26:27 PM PST","E N F J"
"2015/11/22 2:17:06 AM PST","I N T P"
"2015/11/22 3:32:27 AM PST","E N T P"
"2015/11/22 7:25:33 AM PST","I S T J"
"2015/11/22 8:05:21 AM PST","I N T J"
"2015/11/22 2:06:23 PM PST","I S F P"
"2015/11/22 2:06:45 PM PST","I S F P"
"2015/11/22 2:52:42 PM PST","E N T P"
"2015/11/22 6:13:35 PM PST","I N F P;I N T P"
"2015/11/22 6:31:41 PM PST","I N F P"
"2015/11/22 7:05:19 PM PST","I N T J"
"2015/11/22 7:57:32 PM PST","I N F J"
"2015/11/22 8:17:45 PM PST","I N F J"
"2015/11/22 8:42:34 PM PST","E S F J"
"2015/11/22 9:13:50 PM PST","I N T J"
"2015/11/23 12:06:00 AM PST","I N T P"
"2015/11/23 12:49:19 AM PST","I N T P"
"2015/11/23 1:09:24 AM PST","I N T P"
"2015/11/23 2:48:13 AM PST","E N T J;E N T P"
"2015/11/23 3:11:31 AM PST","I N T J"
"2015/11/23 7:04:36 AM PST","I N T J"
"2015/11/23 7:30:23 AM PST","I N T P"
"2015/11/23 9:55:54 AM PST","E N T P;I N F P;“It's always something different"""
"2015/11/23 10:29:04 AM PST","I N T P"
"2015/11/23 10:51:44 AM PST","I N T P"
"2015/11/23 2:02:20 PM PST","E N T J"
"2015/11/23 3:36:39 PM PST","I N T P"
"2015/11/23 9:00:32 PM PST","I N T J"
"2015/11/23 9:48:53 PM PST","I N T J"
"2015/11/24 7:29:40 AM PST","I N F P;I N T P"
"2015/11/24 9:11:41 AM PST","“It's always something different"""
"2015/11/24 10:34:57 AM PST","I N T P"
"2015/11/24 2:07:01 PM PST","E S T J"
"2015/11/24 5:04:40 PM PST","I N F P"
"2015/11/24 7:43:47 PM PST","I N T J"
"2015/11/24 9:13:06 PM PST","I N F P"
"2015/11/25 2:11:05 AM PST","E N T P"
"2015/11/25 8:56:18 PM PST","I N T J"
"2015/11/26 8:11:41 AM PST","I N T P"
"2015/11/27 6:48:21 AM PST","I N T P"
"2015/11/27 7:51:04 PM PST","I N T J"
"2015/11/27 8:50:59 PM PST","I N T J"
"2015/11/27 9:02:44 PM PST","I S T J"
"2015/11/29 9:47:34 AM PST","I N T P"
"2015/11/29 1:22:52 PM PST","I N F J"
"2015/11/29 1:24:16 PM PST","I N T J"
"2015/11/29 1:34:08 PM PST","E N F P"
"2015/11/29 7:22:00 PM PST","I N F J"
"2015/11/29 7:55:49 PM PST","E N T J"
"2015/11/30 4:05:32 AM PST","I N T J"
"2015/11/30 2:05:27 PM PST","I S T P"
"2015/11/30 8:41:10 PM PST","I N T J"
"2015/12/01 10:48:25 AM PST","I N F P"
"2015/12/02 6:38:42 AM PST","I N T J"
"2015/12/02 8:25:55 AM PST","I N F J;I N T J"
"2015/12/02 8:35:57 AM PST","“It's always something different"""
"2015/12/02 9:40:34 AM PST","I N F P"
"2015/12/02 11:21:04 AM PST","I N T P"
"2015/12/02 1:41:24 PM PST","I N F J;I S F J"
"2015/12/02 1:55:13 PM PST","I N F P"
"2015/12/02 2:22:33 PM PST","I N T J"
"2015/12/02 3:39:34 PM PST","I N T P"
"2015/12/02 7:43:57 PM PST","I N F J"
"2015/12/03 8:12:09 AM PST","E N T P"
"2015/12/03 11:37:57 AM PST","E N F P"
"2015/12/04 12:56:20 PM PST","I N T J"
"2015/12/04 3:10:53 PM PST","I N F P"
"2015/12/04 5:28:26 PM PST","I N T J"
"2015/12/05 7:25:49 AM PST","I S T J;I S T P"
"2015/12/05 7:17:39 PM PST","I N F J"
"2015/12/05 11:44:43 PM PST","I N T J"
"2015/12/07 9:20:12 AM PST","I N T J"
"2015/12/07 8:20:24 PM PST","I N T J"
"2015/12/09 5:22:28 PM PST","I N F P"
"2015/12/10 1:05:53 AM PST","I N T P"
"2015/12/12 2:05:09 AM PST","E N T P"
"2015/12/13 12:49:29 AM PST","I N F P"
"2015/12/16 1:13:41 AM PST","I N F J"